id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q20983252,Indranie Chandarpal,female,1951,9,,,,Indranie Chandarpal
Q212760,Bharrat Jagdeo,male,1964-01-23,11,,,Jabdeo 2022 (cropped).jpg,Bharrat Jagdeo
Q25046178,Barton Scotland,male,,,,,Barton Scotland (cropped).jpg,Barton Scotland
Q48955173,Bheri Sygmond Ramsaran,male,1959-03-16,11,,,Bheri Ramsaran at Europe Day 2016 (cropped).jpg,Bheri Ramsaran
Q5230470,David A. Granger,male,1945-07-15,11,,,David Granger at 48th Mercosur Summit (cropped).jpg,David A. Granger
Q53848199,Carl Barrington Greenidge,male,1949-03-03,11,,,Carl Barrington Greenidge (cropped).jpg,Carl Barrington Greenidge
Q57697,Sam Hinds,male,1943-12-27,11,,,Sam Hinds 2006.jpg,Sam Hinds
Q62733292,David Patterson,male,,,,,,
Q62733325,George Norton,male,,,,,,
Q62733333,Rupert Roopnarine,male,,,,,,
Q62733342,Joseph Harmon,male,,,,,Joseph Harmon Guyana.png,Joseph Harmon
Q62733361,Noel Holder,male,,,,,,
Q62733387,Basil Williams,male,,,,,Basil Williams (cropped).jpg,
Q62733422,Khemraj Ramjattan,male,1960-10-12,11,,,Khemraj Ramjattan.png,Khemraj Ramjattan
Q62733431,Ronald A. Bulkan,male,,,,,,
Q62733439,Sydney C. Allicock,male,,,,,Allicock 2 (cropped).jpg,Sydney Allicock
Q62733470,Catherine Hughes,female,,,,,,
Q62733487,Volda Lawrence,female,,,,,Volda Lawrence at CaribVoice (cropped).jpg,
Q62733503,Amna Ally,female,,,,,,
Q62733518,Winston Felix,male,,,,,,
Q62733527,Keith Scott,male,,,,,,
Q62733540,Dawn Hastings-Williams,female,,,,,Dawn Hastings-Williams (cropped).jpg,Dawn Hastings-Williams
Q62733572,Annette Ferguson,female,,,,,,
Q62733586,Valerie Garrido-Lowe,female,,,,,,
Q62733595,Karen Cummings,female,,,,,Karen Cummings.jpg,Karen Cummings
Q62733605,Dominic Gaskin,male,,,,,,
Q62733615,Winston DaCosta Jordan,male,,,,,,Winston Jordan
Q62733622,Nicolette O. Henry,female,,,,,Nicolette Henry 2019 (cropped).jpg,
Q62733631,Audwin Rutherford,male,,,,,,
Q62733645,Simona Broomes,female,,,,,,
Q62733674,Jermaine Figueira,male,,,,,,
Q62733701,Raphael G.C. Trotman,male,,,,,,
Q62733717,John Adams,male,,,,,,
Q62733746,Jennifer Wade,female,,,,,,
Q62733770,Valarie Patterson,female,,,,,,
Q62733798,Jaipaul Sharma,male,,,,,,
Q62733804,Rajcoomarie Bancroft,female,,,,,,
Q62733847,Juan A. Edghill,male,,,,,,
Q62733855,Alister S. Charlie,male,,,,,,
Q62733872,Collin D. Croal,male,,,,,,
Q62733898,Jennifer R.A. Westford,female,,,,,,
Q62733914,Mohamed I. Alli,male,,,,,,
Q62733923,Pauline Campbell-Sukhai,female,,,,,Pauline Sukhai 2022 (cropped).jpg,Pauline Campbell-Sukhai
Q62733927,Clement J. Rohee,male,,,,,,
Q62733938,Harry Gill,male,,,,,,
Q62733947,Gillian R. Persaud,female,,,,,,
Q62733956,Komal Chand,male,,,,,,
Q62733971,Gail Teixeira,female,,,,,,
Q62733979,Priya D. Manickchand,female,,,,,,
Q62733987,Adrian V. Anamayah,male,,,,,,
Q62733995,Cornel Damon,male,,,,,,
Q62734023,Odinga Lumumba,male,,,,,,
Q62734026,Africo Selman,female,,,,,,
Q62734031,Sheila Veersammy,female,,,,,,
Q62734037,Ganga Persaud,,,,,,,
Q62734047,Frank C.S. Anthony,male,,,,,,
Q62734056,Dharamkumar Seeraj,,,,,,,
Q62734065,Vindhya Vasini Persaud,,,,,,,
Q62734305,Mustapha Zulfikar,,,,,,,
Q62734370,Yvonne P. Fredericks,female,,,,,,
Q62734392,Vishwa D.B Mahadeo,,,,,,,
Q62734402,Nigel D. Dharamlall,,,,,,,
Q62734519,Clive R. Jagan,male,,,,,,
Q62734557,Charrandas Persaud,male,,,,,Charrandas Persaud profile.jpg,Charrandas Persaud
Q62734956,Charles S. Ramson,male,,,,,,
Q64840184,Irfaan Ali,male,1980-04-25,11,,,Irfaan Ali in 2020.jpg,Irfaan Ali
Q6915896,Moses Nagamootoo,male,1947-11-30,11,,,Fotografía Oficial Cumbre de Jefas y Jefes de Estados Partes del MERCOSUR y Estados Asociados (23265837203) cropped.jpg,Moses Nagamootoo
Q98053664,Mark Phillips,male,1961-10-05,11,,,PM Mark Phillips (cropped).jpg,Mark Phillips (Guyanese politician)
Q99522589,Hugh Todd,male,,,,,Hugh Todd 2022 (cropped).jpg,Hugh Todd
